tweet_id,conversation_id,customer_message,brand_response,generated_reply,intent,expected_action,notes
2795435,2795435,@AppleSupport Why does the Health app on iOS 11 count steps while I am on a bicycle ride with my Apple Watch recording that ride via the Activity app? Shouldn’t the Activity and Health app talk to each other so that the Health app does not count every bump on the road as a step?,"@780057 We're happy to look into this with you. To get started, let us know in DM which iOS device you're using and which version of iOS 11 you've got installed.",,,,
1725750,1725750,@115858 can you help us all out and fix the I️ problem? I️ I️ I️ I️,@440630 Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,
642035,642035,"@AppleSupport ‘If you're using a headset, and it unexpectedly activates Siri or Voice Control, make sure that your headset is fully inserted into the device.’ Seems to happen most when headphones were in but no moisture or bad jack connection. Any suggestions?",@272370 Sure! Do you have access to another headset we can test with? This will help us isolate the issue to the iPhone or the headset.,,,,
87109,87109,@AppleSupport Last night two iPhones in the family started to restart every minute. iPhone 6s and 6s plus. What is it? Why two at the same time? IPhone 6 isn’t impacted.,"@245882 We want to help. If your device with iOS 11 unexpectedly restarts repeatedly on or after December 2, 2017, this article will walk you through a solution: Let us know if that helps.",,,,
1677057,1677057,I️ hate this new iOS 11.1 update as for the reason those with you with an iPhone can see when I️ type “eye”. HALP @AppleSupport,@510122 Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,
1092523,1092523,@AppleSupport Can I revert back to my previous software as updating to 11.0.3 has halved my battery life and apps keep freezing-iPhone 7 😡,"@377814 We'd be happy to look into this issue with you. Send us a DM, and we'll continue from there.",,,,
1877120,1877120,"With my new MBP’s stuck keys and failing USB power cables and the buggy iPhone update, I’m worried about @115858. Used to all “just work”.",@560338 We are here to help whenever possible. DM the country or region where you are currently located to get started.,,,,
1646249,1646249,@502972 @115858 I updated and it still does it idk,@503127 Thanks for reaching out. We have a workaround for this here: DM us if you still need help.,,,,
1690565,1690565,Why can't I update none of my apps or iOS?! 😩 @115858,@513238 Thanks for reaching out. We'd like to help. Are you updating via Wi-Fi or iTunes?,,,,
2297812,2297812,"my messages app keeps crashing, wtf @115858","@667030 Thank you for reaching out to us. We're here to help. To start, what device model and software version are you using?",,,,
593501,593501,@AppleSupport no one seems to know what’s going on my lost order #customerservicefail #help,"@260525 We'd be happy to help out however we can. Have you spoken to our Sales Support team yet? If not, to whom have you spoken so far?",,,,
2023213,2023213,"@AppleSupport this absolutely poor battery life since 11, please fix! Can spend 30 seconds on the phone without losing 1% battery life 😡","@598361 We're here for you. Which iPhone do you have, and what version number do you see in Settings &gt; General &gt; About &gt; Version?",,,,
1970980,1970980,@AppleSupport I bought nothing recently off of ITunes Store but I got payment method declined? What on earth is going on?,@583814 This article for more info: Let us know in DM if you're still having trouble.,,,,
908496,908496,Not sure if i mentioned it or not but this @115858 update sucks big time! My phone is shit now. That is all.,@335764 We're happy to help. Let's take a look at this further for you. Reach out to us in DM.,,,,
1363282,1363282,Why does my brightness keep changing with this update!?@AppleSupport @115858,@437430 We've got your DM and will continue from there.,,,,
2710965,2710965,yo @115858 ! what is this !? i didnt have this problem prior to ios 11,"@761174 We can help you with this. Are you seeing this on outgoing messages, incoming messages, or both?",,,,
2013846,2013846,@AppleSupport Is this link for the UK too?,"@595474 For contact info, and also a link to worldwide numbers to reach us, please see:",,,,
1592363,1592363,"@115858 dear Apple... THE MOTHERFUCKING GLITCH RUINED THE CAPTURE FOR THE EXCELLENCE OF PICTURE THAT THIS IS. FIX THIS! Xoxo, everyone!",@489463 We want you to get the message across like you intend to. Check out this article for help:,,,,
1028524,1028524,¿Anybody else having battery leaking problems with iOS 11.0.3? Drains like crazy #ios1103 @AppleSupport,@363353 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.0.3 downloaded?,,,,
1425161,1425161,@AppleSupport Music problem hasn’t been fixed. What do you suggest?,@451103 Let's meet in DM and we'll continue to look into this.,,,,
2728235,2728235,I m using iphone 6 and I updated to ios 11 month ago but my wifi get turned on automatically plz tell me what to do @AppleSupport @124871 @2310 @115858 #wifiproblems #iphone6,"@764987 We're here to help. With iOS 11, you can turn off Wi-Fi and Bluetooth in your Control Center, however it just disconnects you from the network that you're currently connected to. To disable Wi-Fi you still have to do that in your Settings:",,,,
1433343,1433343,"@AppleSupport No, I didn’t do anything since it back to normal second later. Not quite disturbing anw, but is it normal? 🤷‍♂️",@452803 Thanks! How do you unlock your iPhone? Do you enter in your passcode or use Touch ID?,,,,
1666276,1666276,Me tiene loco la actualización de iOS. No funciona bien mi celular. Miro con ojos de deseo el S8! @AppleSupport,@507625 We offer support via Twitter in English. Get help in Spanish here: or join,,,,
2300198,2300198,He cometido el error de intentar actualizar mi #iPhone6 y se ha quedado así... A los 30'' se bloquea la pantalla y al desbloquearla vuelta a empezar!! 😩😩😩 #iOS11.1.1 #Apple #Help @119459 @AppleSupport,@667608 We offer support via Twitter in English. Get help in Spanish here: or join,,,,
2686078,2686078,WTF @AppleSupport,@755368 Thanks for reaching out. We see your DM and we'll continue there.,,,,
1634053,1634053,"@AppleSupport why can I️ not type the letter eye. If “eye” do, it comes up as a box and a exclamation mark. See I️",@499896 Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,
1798948,1798948,"@115858 @11993 Constant freezing, battery drain, multiple daily resets, buttons that don’t work, menus that don’t draw correctly. #ios11problems",@540539 We'd be delighted to work with you on the issues you're seeing. Meet up with us in DM to get started.,,,,
741670,741670,@AppleSupport 2/2 and it takes 5 seconds for it to come back up and I see the following screen during this period. I expected iOS 11.0.1 to fix it no.,"@297378 That shouldn't be happening. Is it unresponsive, slow to respond, or both? Backup your iPhone &amp; update to iOS 11.0.2.",,,,
2039307,2039307,Dear @115858 why are you turning the letter I into I️? Is this to combat the narcissism of our times? It isn’t working!,@602978 Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,
92828,92828,"@AppleSupport Help me!! My iPhone X, it’s possible? Only one day of use!",@231162 We'd like to see what we can do to assist. DM us and we'll see if we can't sort this out for you.,,,,
2255361,2255361,@AppleSupport Current version is 11.1,"@299048 Thanks for clarifying that! We understand what you mean. Recently we released a software update. Please back up, update, and test to see how your iPhone is behaving. You can DM us the result. Here's how to back up:",,,,
740462,740462,"@AppleSupport I’ve been up 30 mins, screen v.low brightness. Charge from 100% to 79% already. What a joke.",@244083 Let's figure this out. Which device are you experiencing it on? Reply in DM to get started.,,,,
1640281,1640281,@AppleSupport Just DM You Guys.,@501486 We’ve received your DM. Be on the lookout for our response there shortly.,,,,
1617186,1617186,"Honestly @115858 you would think with selling a $1,000 phone you would be able to keep simple bug fixes like a question mark key up to date.",@495885 We are aware of this issue and are working hard to find a resolution. We do have a workaround:,,,,
1588248,1588248,"@AppleSupport But can you get my clock back on my lock screen? Please, thanks.","@519566 If you restart the device, does the clock come back?",,,,
512559,512559,"@AppleSupport Yes, I do. The fun gets hot. There are no software updates available. It's an iPhone 7 128GB model.","@237889 By crashing, do you mean that it's unexpectedly restarting or shutting down? Let us know in DM and we'll go from there.",,,,
1565193,1565193,@115858 can y’all PLEASE fix the issue with your keyboard and specific letters turning to symbols???,@483213 Thanks for reaching out to us for support. Please check out this link:,,,,
2953853,2953853,@115858 re root bug; I am tired of paying premium prices for junk. Steve must be turning over in hi grave!,@815551 We're here for you! Let's take a closer look in DM here:,,,,
668786,668786,"@AppleSupport if I bring in my MacBook Air into a store, will they unscrew the back plate for me/ would I be charged",@279477 That would be a better question for the store you want to visit. Do you know the closest Apple Store to you?,,,,
1496753,1496753,LISTEN @AppleSupport I️ don’t know why these boxes with question marks keep popping up but this ain’t cute,@467498 We'd be happy to help. Could you tell us which version you are using and which device this is on?,,,,
1201323,1201323,@AppleSupport Standard apps beeps and drop down alerts if I have email open- all other alerts come back on even if I'm in do not disturb mode,@331210 OK. Which iOS version is running on your iPhone? Let's take this conversation to DM:,,,,
2021108,2021108,"So @AppleSupport , what about this I️ / I situation?🤔",@597716 Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,
426710,426710,@AppleSupport iPhone 6s,"@216481 Have you tried powering off and restarting your iPhone? If not, please follow the steps here:",,,,
550747,550747,@AppleSupport Explain this on my iPhone X replacement? Screen burn in?,@248303 We'd like to look into this with you. DM us and we'll continue with you there.,,,,
1852843,1852843,@AppleSupport Crickets.......,@554475 Thanks for confirming. We'd like some additional details to help out with your battery. Send us a DM and we'll continue.,,,,
2583070,2583070,"@AppleSupport Most of the time our calls just don’t connect and sometimes, when it does, it’s only for a short period of time before it just hangs up in the middle of our conversation","@732010 Do you experience this behavior while connected to cellular data, Wi-Fi, or both? Click here to let us know in DM:",,,,
1488890,1488890,@115858 all apps are closed and the phone is still pulling battery like there is no tomorrow. What is wrong with iOS 11?,@201442 We'd like to look into this with you. Reach out via DM using the link below.,,,,
417295,417295,iOS 11 is a complete disaster. Any plan to make it better? Specially for battery life? @115858 @AppleSupport,@214566 Let's have a look at this together. Please DM us.,,,,
2631500,2631500,"Pour ceux qui ont un #iPhone7 et qui ont #iOS11 , est-ce que vois avez ce bug qui fait que quand une app du doc se noirci comme ça, et qu'on fait rien, la page d'accueil et le bouton home ne répondent plus, et on ne peux plus ouvris d'app, même avec Siri. @AppleSupport @101553",@743062 We offer support via Twitter in English. Contact us for help in your preferred language here:,,,,
2422514,2422514,Imagine if my phone actually worked and didn’t die in 5 seconds after I updated to iOS 11?! @115858 😡😡😡😡😡,@603683 We want to look into this with you. Please DM us details on how much battery you have when this happens and if you see an Apple logo or spinning gear. We'll work with you on this issue there.,,,,
1297977,1297977,@115858 my iPhone 6s shuts off when charging in the middle of the night on 11.0.3. What’s up with that?,@423342 That’s not what we’d expect to hear. Can you confirm what charger you are using via DM?,,,,
2145646,2145646,So @115858 are we just stuck with this question mark A I️ situation forever? Unfixable bug? What’s going on?,@630775 Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,
1242835,1242835,@AppleSupport It’s all on the Apple Support thread in the first tweet I sent over.,@411556 Thanks for clarifying. Please meet us in DM so we may discuss this further.,,,,
2277705,2277705,@662349 @115858 I hear that!!!!! Nothing has been right on mine since the iOS 11 updates😡,@668652 Thanks for reaching out. We've recieved your DM and will respond there shortly.,,,,
1621208,1621208,@AppleSupport Taking portrait mode photos keeps crashing and restarting my iPhone X. Other modes are fine. Already on iOS 11.1. Help!,"@496798 We'd be happy to look into this with you. Send us a DM, and we'll get started.",,,,
1876999,1876999,"@AppleSupport See this, deleting the update again and again, still doesn’t remove the installed update of ios 11.0.3",@458042 We appreciate the videos you've provided. Try using iTunes on your computer to update and DM us the result.,,,,
1886879,1886879,IOS 11 has fucked up my phone that’s not even a year old!!! Thanks so much @115858 @AppleSupport !!!🙃🙃,"@562775 Rest assured, it's certainly not what we want you to experience, so we're committed to helping. Please DM us all about it.",,,,
1178386,1178386,@AppleSupport I pulled these out of my phone and the lightning conector stayed in my phone.. I've had these for less than 1 month...,@397144 We'd be happy to look into available options with you. DM us your iPhone model to get started.,,,,
2578611,2578611,@115858 please fix the I.T issue. I’m tired of having to type “it” FIVE TIMES to make it say it!,"@678071 We absolutely want to help with this. What device are you using, and what OS version is installed? Let us know in DM. We’re here for you.",,,,
661524,661524,@AppleSupport You can't just tell me what to do since it's probably a software issue? The closest place is 2 hours away and they'll probably want 4 times what I paid for the buttons.,"@277622 DM us, and we can give you some other support options.",,,,
1634068,1634068,Listen @115858 this little question mark shit is getting on my nerves. Tighten up.,@499902 Thanks for reaching out. We have a workaround for this here:,,,,
2405046,2405046,Tried update to #iOS1111 - result below. Got loop of not updating and can’t restore or reset to factory settings. @AppleSupport Help please!,@691767 We've got some steps for you to get this update issue solved. Let's try the step here: Let us know in DM if those don't help.,,,,
1226604,1226604,@115858 @AppleSupport my dock disappeared 👀,@407762 Which device and iOS version are you using? Have you tried restarting? We want to see how we can help with this.,,,,
1446439,1446439,"There are many bugs on the native mail app for the iPhone 8 running iOS 11.1. Super frustrating, might have to ditch it. 💆🏽‍♂️@AppleSupport",@455635 We're here for you. DM some further details as to what is going on and we can go from there together.,,,,
1647343,1647343,@AppleSupport It’s on a Sony stereo for cars (not sure which model exactly) and my phone is on version 11.1,@503294 Thanks for letting us know. Please DM us so that we can look into this together.,,,,
1079177,1079177,@115858 my music app won’t even open because of this update. I’m furious FIX THIS NOW!!!! I don’t pay for Apple Music for it to not work,@374565 Hi there. We'd be happy to help get your Music playing again. What's happening when you tap your Music app to open it?,,,,
292907,292907,@115858 um yeah I'd just like to know why my phone has been screwing up so bad...it started when the new iPhones that I can't afford came out,@185755 Can you tell us a bit about the trouble you're running into? We're happy to help get your iPhone working like it should be!,,,,
2017185,2017185,"@115858 's reserve and pickup is a scam, don't understand how they get sold old in 3o secs &amp; how the reservation never goes through",@596538 This isn't the experience we want you to have. Which country are you located in? Reply in DM so we can look at your options.,,,,
1584636,1584636,@115858 you guys need to fix this glitch. I️ I️ I️ I️ I️ I️ I I️ I️ am pissed about this. It’s messing with my business! Come on!,@242720 Thanks for reaching out. This workaround will help until this issue is resolved in a future update:,,,,
1803198,1803198,@AppleSupport I have iOS 11.1.2 now and still the battery life is awful. I use my iPhone on a daily basis and now since the battery drain so fast I need to carry a powerbank everytime. :(,@541828 Is this issue happening in very hot or very cold conditions? Does it happen when using a particular app or is it more widespread?,,,,
1107350,1107350,@AppleSupport iOS 11.03 on a 6splus. When I updated my battery life went down by 50%,@167225 Let's work together on figuring out what's happening. Please reach out to us in DM and we can get started.,,,,
2675086,2675086,@AppleSupport iPhone 5se with 11.0.3 and it started yesterday,@270085 Let's get Touch ID working again. Please start by trying the steps here: Let us know how it goes.,,,,
889072,889072,"@AppleSupport There is a delayed touch response switching between apps and iPhone screens, and typing using the keyboard and also voice recognition. Also I have apps freeze now, and they didn’t used to before I upgraded.",@331076 We'd be happy to look into this with you further. DM us using the link below and we'll go from there.,,,,
1589897,1589897,@488856 @115858 An employee got in my face about picking up an order that was ready. There was a backend error and he was so unnecessarily rude about it.,@488855 We want to make sure this gets addressed. Can you DM us and let us know more about what happened?,,,,
909075,909075,@AppleSupport Please fix Do Not Disturb on iOS11. Still getting calls when it’s turned on and “allow calls from no one”,@335926 Let’s see what might be causing this. DM us and we'll work from there:,,,,
1760479,1760479,Why is the letter I️ not working. Messed up my tweet @115858,@529859 Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,
1394012,1394012,Headphones hear a strange sound every 20-30 minutes while listening to music. 😡 #Apple #AirPods @115858 @AppleSupport,@444193 We want to help make sure you enjoy your music. Could you describe the sound?,,,,
2913296,2913296,"Dear @115858 @AppleSupport, Where is the ""Siri &amp; Search"" menu that used to sit under the ""Sounds &amp; Haptics"" menu in ""Settings"" on iOS 11.1.2? Buggy?","@806473 We're here for you! Send us a DM, and we'll take a closer look at your Settings together there.",,,,
1410768,1410768,@115858 can you explain to me why these boxes pop up when I️ type “I️” and can y’all fix it?? Can’t form too many sentences without it lol,@222734 Let's look into this issue for you. Send us a DM with your current iOS version to get started.,,,,
2294436,2294436,"Bonjour @AppleSupport , mon iPhone refuse complètement de se connecter à iCloud depuis cet après midi",@666250 We offer support via Twitter in English. Contact us for help in your preferred language here:,,,,
2320118,2320118,@672423 @116333 I didn't receive my Veterans Activity Challenge Award.. what possibly could have happened to it.,@672422 We'd like to look into this with you. Send us a DM and we'll go from there.,,,,
1492611,1492611,@AppleSupport I updated pages on my iPhone and now it's freezing when I try to open a new document,@466619 Let's get you connected to our Pages team. Please use this link to get in contact with them: Select Apps &amp; Software &gt; iOS apps,,,,
2743086,2743086,@AppleSupport my Apple TV keeps asking me for a verification code in order to use my apps. I say “ok” &amp; one pops up on my phone (with my old Apple ID (wtf)) &amp; there’s nowhere to enter the verification code. 🤦🏻‍♀️ This thing has been nothing but a pain in the butt.,@768345 We want to make sure this gets resolved for you. Contact our Apple TV experts through this link to get started:,,,,
2572095,2572095,"Thanks to new iOS update from @115858 I can take a few weeks off from my iPhone. Who needs to type on those things anyway? Seriously, nobody wants more emojis! Is it too much to ask for the basics to work like phone, mail, text, calendar? #applefail #itdoesntwork #ios11",@729361 This isn't what we want to happen after you update to iOS 11. Let's pair up in DM to get a closer look at what's happening here.,,,,
1764501,1764501,@115858 my fucking iPhone was working perfectly before this update . FIX IT !,@530792 We want to help. What is your iPhone doing after the update? Send us some details and we'll make a plan to resolve it.,,,,
1733772,1733772,please fix the fucking i️ glitch @115858,@523592 Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,
287499,287499,"Constant bug on new @115858 iOS is a lock screen that looks like the left, rather than the right.",@184516 Let us help. We want to be sure we understand what you are seeing there. What problem are you seeiing with the lock screen?,,,,
1877859,1877859,My phone is so fucking broken for no reason @115858 get your shit together :/,"@306089 We'd like to know more about what's happening. Send us a DM with the specifics, including which iOS version you're using.",,,,
1934066,1934066,@AppleSupport why my battery drain fast when I charge it it takes longer to charge and I’m iPhone 7 on iOS 11,@156107 Thanks for reaching out. This not an experience we want you to have. We'd like to help. Let's work together in DM.,,,,
2888003,2888003,@AppleSupport I had to get our IT people on it to fix it. Well they were only able to create a work around for me. But so far it has been ok.,@373660 We suggest completing the update at this time. We're here for you if you have any other questions.,,,,
1748067,1748067,"@AppleSupport my iPhone 7 will not connect to known WiFi networks. Keep getting ‘incorrect password’ messages, please help 😭",@526952 We'd love to help. Could you Direct Message us and let us know what iOS version you're on?,,,,
706898,706898,"@AppleSupport new iOS is terrible. Slows down the phone with multiple delays, keyboard delays, safari issues, volume issues - iphone6",@289005 Thanks for reaching out! We've received your DM and we'll continue with you there.,,,,
1657805,1657805,@AppleSupport I’ve been dealing with this for 2 days? Why are I’s being replaced with “A ?”,@505824 Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,
1973350,1973350,My (I’s) are now doing this I️ ! Thank you @115858 @AppleSupport a sign that my phone is going to die out and I️ need to get a new one 🙄,@584427 We'll do everything we can to help. Which version of iOS is currently installed on your iPhone? Let us know via DM.,,,,
1579757,1579757,@486429 @115858 I’m frustrated 😫😫,@486428 We want your keyboard working for you; we'll do all we can to help. Let's try these steps:,,,,
1878005,1878005,@AppleSupport starting today my iPhone 8 plus display will remain on and will not turn off unless I hit the sleep button. ??,@177690 We want to be sure your iPhone 8 is working normally. Have you been able to restart since this has happened? Let us know in DM.,,,,
1919735,1919735,estou farta desta battery drain. fix it @115858 @AppleSupport,@571537 We're happy to look into your battery concerns. DM us your model iPhone and iOS version installed to get started.,,,,
1482438,1482438,@115858 how could our search algorithm be so bad. I’m trying to use #spotlight to find the App Store,@464218 Let's look into this further. Do you have Suggestions in Search or in Look Up enabled in Settings &gt; Siri &amp; Search currently?,,,,
765635,765635,So found out the new iPhone update now doesn’t allow me to connect my phone to the car? @115858 what are you playing at 🙄🙄🙄🙄,@302981 We want you to enjoy your iPhone wherever you're going. We'll do all we can to help. How are you trying to connect to your car?,,,,
2417425,2417425,updated my iPhone but the “I” thing still is not fixed 🚮 @AppleSupport @115858,@363597 Let's have a look at this together. Can you please DM us?,,,,
82032,82032,Thanks @115817 for loosing my iPhone X and for @115858 for not sending me a new one,@134153 We'd like to look into this with you. Let's hop in DM. Click here:,,,,
905947,905947,@AppleSupport My headphone is notworking without any reason :) You must fix it to me :).,@335080 Let's help look into any options. Please DM us the country you're in and we can go from there.,,,,
851737,851737,@AppleSupport Yup it’s in Standard. S/O to your twitter customer service tho,@322321 Thanks for checking on that. We welcome feedback. Please feel free to leave yours regarding this here:,,,,
2776022,2776022,"Hey @115858, would be cool if your latest update didn't completely break my phone &amp; support could give more than ""your warranty was up 30 days ago"" or ""did you try turning it off &amp; on again?"" Anyone have a connect for actual support? #offthegridinPeru",@775678 HI there. We can look into whatever issue you're having with your phone. Let's meet up in DM and discuss it.,,,,
96980,96980,@AppleSupport Why is the double tap summoning Siri?,@137166 We're here to help. Have you restarted your iPhone since applying this change in settings?,,,,
1137976,1137976,been charging my phone for 1hr but it’s still on 5% ermmmm @115858,@388036 We're happy to help! Have you had the chance to restart your iPhone yet? Let us know if that changes the battery percentage.,,,,
1713675,1713675,PLEASE GOD @115858 FIX THE THIS Or I’m going to buy a Samsung.,@301556 We'd like to see how we can help. DM us and we can get started.,,,,
1717512,1717512,"@AppleSupport how can I remove ""Advanced Mac Cleaner""? It was meant to be Flash. Thanks. #help",@520068 We can help you out with that. Can you uninstall it following the directions here?:,,,,
2255392,2255392,"@115858 Ho trovato un bug nella tastiera iOS 11, quando digito “la” mi sostituisce in automatico con “L.A” è poco gradito sto bug 😓",@656912 We offer support via Twitter in English. Contact us for help in your preferred language here:,,,,
1761259,1761259,Is @115858 working on their iPhone texting issue with (i) ??,@515042 Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,
1101038,1101038,@AppleSupport Hey folks. 11.0.3 appears to have bricked my iPhone 6. Any update? Thanks!,@379768 We'b be happy to assist you with your iPhone. Meet us in DM and we'll get started.,,,,
2234446,2234446,@AppleSupport Yep!,@444390 Thanks for the details. Send us a DM using the link below and we'll continue to help.,,,,
1774851,1774851,@AppleSupport why am I getting this error? - I am connected to WiFi with a good connection,@533376 We'd like to take a look at this with you. Let's continue in DM.,,,,
2850904,2850904,all my pictures deleted out my phone and I’m sad af. Wassup @AppleSupport ?,"@792706 We're here for you! Do you use iCloud Photo Library? Did anything happen before you noticed your photos missing, like restarting or closing an application?",,,,
1765140,1765140,I️ blame @115858 for my typo I️ was over here trying to figure out how to say it without using “I️” and look where it got me fuck you apple !,@530937 Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,
1692573,1692573,LOOK @115858 ... fix this annoying I️ shit 😒,@513703 Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,
2555367,2555367,Hey @115858 I really don’t appreciate the new bug where my alarms aren’t going off.,@725631 It’s important to have reliable alarms! Let’s dig a little deeper to see what we can find out. Let us know which version of iOS you’re running in DM. We’ll continue with you there.,,,,
125761,125761,"@AppleSupport Unresponsive keyboard and buttons, low battery life, disappearing icons and even the time display, wifi/bluetooth always on.","@144217 Thanks for clarifying. We're eager to help get these issues resolved. In order to ensure we're on the same page, please send us a DM and let us know the version number of iOS installed. This can be found under Settings &gt; General &gt; About.",,,,
